"catalogNumber","scientificName","country","locality","minimumAltitudeInMeters","eventDate","recordedBy","otherCatalogNumbers","specimen_image","cover_image","cover_barcode","sheet_type","latitude","longitude","formatted_address"
"FI-HCI-00050064","Meum !","","Val Farcola supra Bormio.","2200 m. ",1897,"Stéphen Sommier","FI-HCI-00050063","/CP1_20240402_BATCH_0001/FI-HCI-00050063.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021816.jpg","Folder-FI-HCI-0021816","",46.4685313,10.371804,"23032 bormio, province of sondrio, italy"
"FI-HCI-00050365","Gaya","","In alpines elaty Co Vetasuigau*","",1849,"collector unknown","FI-HCI-00050365","/CP1_20240402_BATCH_0001/FI-HCI-00050365.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050001","Meum mutellina Derby*","","Paturages* montagnes ! Mt Cenis.","",1888,"E. Rostan","FI-HCI-00035000","/CP1_20240402_BATCH_0001/FI-HCI-00035000.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021810.jpg","Folder-FI-HCI-0021810","",50.4048263,3.8383261,"pâturages, 7340 colfontaine, belgium"
"FI-HCI-00050509","Gaya simplex (L)","","Tirolia centr. In montibus inter vallem Navis et Wattens.","",,"A. Kerner","FI-HCI-00050510","/CP1_20240402_BATCH_0001/FI-HCI-00050510.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021854.jpg","Folder-FI-HCI-0021854","",47.2947252,11.5899827,"wattens, austria"
"FI-HCI-00050152","Meum mutellina (L.)","","Tirolia centr. In monte Patscherkofel in ditione Oenipontana, solo schistoso.","",,"A. Kerner.","FI-HCI-00050153","/CP1_20240402_BATCH_0001/FI-HCI-00050153.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021823.jpg","Folder-FI-HCI-0021823","",,,
"FI-HCI-00050370","Gaya simplex Gaud","","Corno del Camoseio - Saprair Colle I' Ollen (mu Rosa)","2900-3000 m.",1898,"collector unknown","FI-HCI-00050370","/CP1_20240402_BATCH_0001/FI-HCI-00050370.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050467","Pachypleurum simplex","","Fericia* joll* 'd papo* Ou!.","",1914,"P. Bolzou","FI-HCI-00050467","/CP1_20240402_BATCH_0001/FI-HCI-00050467.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021852.jpg","Folder-FI-HCI-0021852","",,,
"FI-HCI-00050471","Pachypleurum simplex","","L. obofo-fafoj* in o.s* furedaf ovro* il p.s* forca bofra*.","",1910,"P. Bolzou","FI-HCI-00050470","/CP1_20240402_BATCH_0001/FI-HCI-00050470.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021852.jpg","Folder-FI-HCI-0021852","",,,
"FI-HCI-00050470","Pachypleurum simplex Gaud","","L. urbofa* Jubfh* dolomitero* poco fopra* la mi Focobou, luyo* il viollolo del Bifapio* a ceria*.","2000-2400",1908,"P. Bolzou","FI-HCI-00050470","/CP1_20240402_BATCH_0001/FI-HCI-00050470.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021852.jpg","Folder-FI-HCI-0021852","",,,
"FI-HCI-00050062","Meum mutellina Gr. et God.","","In pratis alpinis. Passo la Scala (près Bornio).","2400 m.",1870,"ex herb. S. Sommier","FI-HCI-00050063","/CP1_20240402_BATCH_0001/FI-HCI-00050063.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021816.jpg","Folder-FI-HCI-0021816","",,,
"FI-HCI-00050365","Gaya","","In pasuis alpinis Monty Crammer","2510 metri",1829,"collector unknown","FI-HCI-00050365","/CP1_20240402_BATCH_0001/FI-HCI-00050365.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021846.jpg","Folder-FI-HCI-0021846","",,,
"FI-HCI-00050514","Gaya simplex Gaud.","","Pic de Belledone près Grenoble.","",,"Verloz","FI-HCI-00050515","/CP1_20240402_BATCH_0001/FI-HCI-00050515.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021855.jpg","Folder-FI-HCI-0021855","",45.188529,5.724524,"grenoble, france"
"FI-HCI-00050375","Gaya simpex","","Virls ' Otro presso Aluguir Versesia ","",1870,"collector unknown","FI-HCI-00050375","/CP1_20240402_BATCH_0001/FI-HCI-00050375.jpg","/CP1_20240402_BATCH_0001/Folder-FI-HCI-0021847.jpg","Folder-FI-HCI-0021847","",,,
